stamp,macaddress,event,date,itemname
1577519594.2,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577519583.181,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577519534.388,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577519523.447,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577516283.165,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577516274.744,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577516268.623,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577516217.713,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577516215.984,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577516204.961,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577516201.401,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577516181.308,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577516152.931,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577516138.905,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515941.911,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515933.73,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515830.478,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515797.039,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515792.523,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515784.508,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515626.509,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515600.462,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515462.946,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515457.955,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515457.774,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515453.008,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515448.273,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515427.092,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515423.898,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515399.194,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577515138.673,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515085.021,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577515003.021,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577514982.59,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577514932.797,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577514921.619,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577514823.348,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577514760.211,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577514752.233,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577514732.538,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577514717.875,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577514717.874,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577512159.165,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577512151.152,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577508290.813,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577508282.798,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577508265.799,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577508246.239,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577508237.006,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577508228.368,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
1577508215.935,000D6F000F7314D9,48,2019-12-27,nyce-w-5300
1577508210.919,000D6F000F7314D9,50,2019-12-27,nyce-w-5300
